#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
1520                 -         5S_rRNA              RF00001    cm        1      119      123        3      -    no    1 0.53   0.0   84.2   2.4e-17 !   [C32689; 123bp]
3633                 -         5S_rRNA              RF00001    cm        1      117        5      123      +    3'    3 0.51   0.0   75.4   4.5e-15 !   [C33295; 123bp]
3708                 -         5S_rRNA              RF00001    cm        5      119      123        7      -    5'    2 0.53   0.0   75.2   5.1e-15 !   [C27479; 123bp]
2947                 -         5S_rRNA              RF00001    cm        1      113      115        1      -    3'    3 0.53   0.0   72.3   2.8e-14 !   [C27441; 123bp]
3488                 -         5S_rRNA              RF00001    cm        1      109      111        1      -    3'    3 0.52   0.0   71.8     4e-14 !   [C27851; 123bp]
1957                 -         5S_rRNA              RF00001    cm        1      109      111        1      -    3'    3 0.53   0.0   70.0   1.1e-13 !   [C27853; 123bp]
1234                 -         5S_rRNA              RF00001    cm        1      111      113        1      -    3'    3 0.52   0.0   67.8   4.1e-13 !   [C29139; 123bp]
2541                 -         5S_rRNA              RF00001    cm        7      119      123        9      -    5'    2 0.50   0.0   67.4   5.2e-13 !   [C32131; 123bp]
2020                 -         5S_rRNA              RF00001    cm        8      119        1      114      +    5'    2 0.50   0.0   67.3   5.7e-13 !   [C30597; 123bp]
3935                 -         5S_rRNA              RF00001    cm       12      119      123       14      -    5'    2 0.49   0.0   66.9   7.3e-13 !   [C28295; 123bp]
3419                 -         5S_rRNA              RF00001    cm       13      119        1      109      +    5'    2 0.50   0.0   65.5   1.7e-12 !   [C31315; 123bp]
1971                 -         5S_rRNA              RF00001    cm        1      108      110        1      -    3'    3 0.52   0.0   65.3   1.9e-12 !   [C28133; 123bp]
1526                 -         5S_rRNA              RF00001    cm       14      119        1      108      +    5'    2 0.50   0.0   64.7   2.7e-12 !   [C27187; 123bp]
3207                 -         5S_rRNA              RF00001    cm        1      105      107        1      -    3'    3 0.53   0.0   62.4     1e-11 !   [C29041; 123bp]
1364                 -         5S_rRNA              RF00001    cm        1      105      107        1      -    3'    3 0.52   0.0   61.3     2e-11 !   [C29039; 123bp]
1953                 -         5S_rRNA              RF00001    cm        1       99      101        1      -    3'    3 0.52   0.0   59.1   7.4e-11 !   [C32819; 123bp]
1012                 -         5S_rRNA              RF00001    cm        1       99      101        1      -    3'    3 0.52   0.0   58.8   8.8e-11 !   [C32817; 123bp]
2141                 -         5S_rRNA              RF00001    cm        1      104      105        1      -    3'    3 0.51   0.0   58.3   1.2e-10 !   [C32369; 123bp]
919                  -         5S_rRNA              RF00001    cm        1       96       26      123      +    3'    3 0.51   0.0   57.8   1.6e-10 !   [C27585; 123bp]
3081                 -         5S_rRNA              RF00001    cm       19      119        1      103      +    5'    2 0.50   0.0   57.3   2.2e-10 !   [C28933; 123bp]
1493                 -         5S_rRNA              RF00001    cm        1       97       99        1      -    3'    3 0.54   0.0   57.0   2.7e-10 !   [C31959; 123bp]
4020                 -         5S_rRNA              RF00001    cm       20      119      120       19      -    5'    2 0.52   0.0   56.9   2.7e-10 !   [C26963; 120bp]
2055                 -         5S_rRNA              RF00001    cm        1       92       94        1      -    3'    3 0.54   0.0   55.8   5.2e-10 !   [C27263; 123bp]
2807                 -         5S_rRNA              RF00001    cm        1       90       92        1      -    3'    3 0.53   0.0   55.2   7.5e-10 !   [C30315; 123bp]
3029                 -         5S_rRNA              RF00001    cm        1       95       97        1      -    3'    3 0.51   0.0   54.6   1.1e-09 !   [C32527; 123bp]
1952                 -         5S_rRNA              RF00001    cm       23      119      123       25      -    5'    2 0.53   0.0   54.0   1.5e-09 !   [C30381; 123bp]
4040                 -         5S_rRNA              RF00001    cm       21      119      120       20      -    5'    2 0.50   0.0   53.9   1.6e-09 !   [C26943; 120bp]
