ID	distID	totVar	len	rySynTot	rySynProp	ryNonSynTot	ryNonSynProp	bpSynTot	bpSynProp	bpNonSynTot	bpNonSynProp
5_8S_rRNA	deep	13	154	9	0.692	4	0.308	10	0.769	3	0.231
5S_rRNA	deep	42	121	22	0.524	20	0.476	18	0.429	24	0.571
Asn-tRNA	deep	28	74	17	0.607	11	0.393	11	0.393	17	0.607
Cys-tRNA	deep	32	73	15	0.469	17	0.531	13	0.406	19	0.594
Fungi_SRP	shallow	137	558	42	0.307	95	0.693	120	0.876	17	0.124
Fungi_U3	deep	224	351	40	0.179	184	0.821	142	0.634	82	0.366
Gln-tRNA	deep	20	72	8	0.400	12	0.600	7	0.350	13	0.650
His-tRNA	deep	29	73	14	0.483	15	0.517	10	0.345	19	0.655
Intron_gpI-IC2	shallow	23	359	1	0.043	22	0.957	23	1.000	0	0.000
Intron_gpII	shallow	52	95	8	0.154	44	0.846	41	0.788	11	0.212
LSU_rRNA_eukarya	deep	741	3521	284	0.383	457	0.617	495	0.668	246	0.332
Met-tRNA	deep	20	72	5	0.250	15	0.750	5	0.250	15	0.750
Phe-tRNA	deep	50	94	8	0.160	42	0.840	28	0.560	22	0.440
Pro-tRNA	deep	27	72	8	0.296	19	0.704	10	0.370	17	0.630
RNase_MRP	deep	373	507	46	0.123	327	0.877	314	0.842	59	0.158
RNaseP_nuc	deep	267	423	35	0.131	232	0.869	202	0.757	65	0.243
Sacc_telomerase	shallow	457	1246	209	0.457	248	0.543	375	0.821	82	0.179
snR10	shallow	10	245	6	0.600	4	0.400	8	0.800	2	0.200
snR3	shallow	8	194	7	0.875	1	0.125	6	0.750	2	0.250
snR40	shallow	14	97	4	0.286	10	0.714	14	1.000	0	0.000
snR41	shallow	7	111	4	0.571	3	0.429	6	0.857	1	0.143
snR45	shallow	6	181	5	0.833	1	0.167	6	1.000	0	0.000
snR4	shallow	11	187	6	0.545	5	0.455	7	0.636	4	0.364
snR50	shallow	6	89	4	0.667	2	0.333	6	1.000	0	0.000
snR5	shallow	9	197	5	0.556	4	0.444	7	0.778	2	0.222
snR8	shallow	8	191	7	0.875	1	0.125	4	0.500	4	0.500
snR9	shallow	19	187	12	0.632	7	0.368	14	0.737	5	0.263
srg1	shallow	185	567	90	0.486	95	0.514	111	0.600	74	0.400
SSU_rRNA_eukarya	deep	230	1879	84	0.365	146	0.635	176	0.765	54	0.235
Trp-tRNA	deep	69	109	12	0.174	57	0.826	51	0.739	18	0.261
Tyr-tRNA	deep	39	90	13	0.333	26	0.667	22	0.564	17	0.436
U1_yeast	shallow	87	585	56	0.644	31	0.356	77	0.885	10	0.115
U2	deep	115	194	10	0.087	105	0.913	93	0.809	22	0.191
U4	deep	105	193	11	0.105	94	0.895	84	0.800	21	0.200
U5	deep	86	143	12	0.140	74	0.860	64	0.744	22	0.256
U6	deep	101	165	10	0.099	91	0.901	90	0.891	11	0.109
