ID	distID	totVar	len	aaSynTot	aaSynProp	aaNonSynTot	aaNonSynProp	banpSynTot	banpSynProp	banpNonSynTot	banpNonSynProp	blossSynTot	blossSynProp	blossNonSynTot	blossNonSynProp
2-Hacid_dh_C	shallow	84	537	69	0.821	15	0.179	75	0.893	9	0.107	74	0.881	10	0.119
2-Hacid_dh	shallow	123	960	113	0.919	10	0.081	120	0.976	3	0.024	121	0.984	2	0.016
Brix	deep	556	912	76	0.137	480	0.863	215	0.387	341	0.613	199	0.358	357	0.642
COX1	shallow	290	291	0	0.000	290	1.000	0	0.000	290	1.000	0	0.000	290	1.000
CPSF_A	deep	545	999	88	0.161	457	0.839	262	0.481	283	0.519	208	0.382	337	0.618
Cytochrome_B	shallow	10	237	6	0.600	4	0.400	7	0.700	3	0.300	7	0.700	3	0.300
DUF1115	deep	269	411	18	0.067	251	0.933	82	0.305	187	0.695	74	0.275	195	0.725
DUF382	deep	230	402	44	0.191	186	0.809	104	0.452	126	0.548	94	0.409	136	0.591
EST1_DNA_bind	shallow	197	873	75	0.381	122	0.619	116	0.589	81	0.411	111	0.563	86	0.437
EST1	shallow	129	417	37	0.287	92	0.713	65	0.504	64	0.496	59	0.457	70	0.543
FHA	deep	204	276	13	0.064	191	0.936	51	0.250	153	0.750	35	0.172	169	0.828
GTP_EFTU	deep	277	993	129	0.466	148	0.534	184	0.664	93	0.336	190	0.686	87	0.314
KOW	deep	67	105	3	0.045	64	0.955	13	0.194	54	0.806	11	0.164	56	0.836
LAGLIDADG_1	shallow	1	255	0	0.000	1	1.000	1	1.000	0	0.000	1	1.000	0	0.000
LAGLIDADG_2	shallow	17	459	2	0.118	15	0.882	2	0.118	15	0.882	5	0.294	12	0.706
LRR_9	deep	312	426	22	0.071	290	0.929	53	0.170	259	0.830	52	0.167	260	0.833
LSM	deep	49	279	33	0.673	16	0.327	38	0.776	11	0.224	36	0.735	13	0.265
LUC7	shallow	132	723	82	0.621	50	0.379	100	0.758	32	0.242	97	0.735	35	0.265
MMS1_N	deep	1152	1764	98	0.085	1054	0.915	400	0.347	752	0.653	289	0.251	863	0.749
Nop10p	shallow	20	150	13	0.650	7	0.350	15	0.750	5	0.250	15	0.750	5	0.250
NOP5NT	deep	23	198	20	0.870	3	0.130	23	1.000	0	0.000	21	0.913	2	0.087
Nop	deep	63	699	61	0.968	2	0.032	62	0.984	1	0.016	62	0.984	1	0.016
PHF5	deep	172	318	27	0.157	145	0.843	61	0.355	111	0.645	53	0.308	119	0.692
POP1	deep	475	717	53	0.112	422	0.888	130	0.274	345	0.726	103	0.217	372	0.783
POPLD	deep	196	321	18	0.092	178	0.908	66	0.337	130	0.663	46	0.235	150	0.765
Prp31_C	deep	258	387	27	0.105	231	0.895	69	0.267	189	0.733	65	0.252	193	0.748
PRP3	deep	646	753	25	0.039	621	0.961	56	0.087	590	0.913	52	0.080	594	0.920
PSP	deep	65	138	14	0.215	51	0.785	36	0.554	29	0.446	22	0.338	43	0.662
Ribosomal_60s	deep	150	270	18	0.120	132	0.880	48	0.320	102	0.680	48	0.320	102	0.680
Ribosomal_L10	deep	125	306	31	0.248	94	0.752	59	0.472	66	0.528	58	0.464	67	0.536
Ribosomal_L13	deep	158	372	43	0.272	115	0.728	84	0.532	74	0.468	91	0.576	67	0.424
Ribosomal_L14	deep	284	417	31	0.109	253	0.891	67	0.236	217	0.764	57	0.201	227	0.799
Ribosomal_L16	deep	139	462	66	0.475	73	0.525	111	0.799	28	0.201	103	0.741	36	0.259
